n, time, subproblems
4, 0.053, 17
5, 0.16, 54
6, 0.48, 153
7, 1.98, 552
8, 9.27, 2057
9, 31.19, 8394 
10, 160.50, 35539
11, 739.95, 166926
12, 4067.38, 856189
13, 24093.38, 4674890
14, 149156.43, 27358553
15, 905307.84, 171129072
16, 6364506.68, 1141190303 
